model,datatype,sort_mode,rmse,mae,mape,acc@10,acc@20,acc@30,hidden,embedding,num_head,num_block,stop_epoch,train_time,test_time,batch,lr,epoch,train_mode,time,is_test
RankPETA,order,pnn_idx,28.228294378737377,24.182468461652174,0.8670704929118461,0.14893617021276595,0.45390070921985815,0.6968085106382979,32,32,2,2,0,6.860711097717285,0.6758913993835449,512,0.001,5,sort,2023-10-18 19:38:52,False
RankPETA,order,pnn_idx,28.228294378737377,24.182468461652174,0.8670704929118461,0.14893617021276595,0.45390070921985815,0.6968085106382979,32,32,2,2,0,3.194676637649536,0.29008054733276367,512,0.001,5,sort,2023-10-23 18:56:57,False
RankPETA,order,pnn_idx,11.917698599855267,9.416269302368164,0.7608588337898254,0.6244725738396625,0.9240506329113924,0.9789029535864979,8,32,2,2,138,gcn,gru,64,0.001,1000,sort,2023-12-01 20:01:49,False
RankPETA,order,pnn_idx,12.989911199417415,10.093335151672363,0.8916342258453369,0.5822784810126582,0.8987341772151899,0.9746835443037974,8,32,2,2,33,gcn,tft,64,0.001,1000,sort,2023-12-01 21:01:30,False
RankPETA,order,pnn_idx,12.389769708619172,9.619329452514648,0.7557038068771362,0.6286919831223629,0.9113924050632911,0.9704641350210971,8,32,4,2,156,gcn,gru,64,0.001,1000,sort,2023-12-01 21:26:16,False
RankPETA,order,pnn_idx,12.445204605621447,9.896109580993652,0.8057453036308289,0.5864978902953587,0.9071729957805907,0.9746835443037974,8,64,2,2,132,gcn,gru,64,0.001,1000,sort,2023-12-01 22:35:52,False
RankPETA,order,pnn_idx,12.694237334279812,10.089397430419922,0.9324820637702942,0.5822784810126582,0.8860759493670886,0.9746835443037974,8,32,4,2,65,gcn,tft,64,0.001,1000,sort,2023-12-01 23:04:02,False
RankPETA,order,pnn_idx,13.684682617075126,10.648183822631836,0.8223068118095398,0.569620253164557,0.8818565400843882,0.9746835443037974,8,64,4,2,193,gcn,gru,64,0.001,1000,sort,2023-12-02 00:24:18,False
RankPETA,order,pnn_idx,12.259410746665957,9.733247756958008,0.8628990650177002,0.5991561181434599,0.9029535864978903,0.9704641350210971,8,32,2,2,97,gatv2,tft,64,0.001,1000,sort,2023-12-02 01:02:25,False
RankPETA,order,pnn_idx,15.248996388914932,12.534133911132812,1.0750724077224731,0.4388185654008439,0.8270042194092827,0.9662447257383966,8,32,2,4,107,gcn,gru,64,0.001,1000,sort,2023-12-02 01:27:20,False
RankPETA,order,pnn_idx,12.949014303627395,10.209675788879395,0.8887780904769897,0.5907172995780591,0.8734177215189873,0.9789029535864979,8,64,2,2,87,gcn,tft,64,0.001,1000,sort,2023-12-02 01:50:13,False
RankPETA,order,pnn_idx,11.106885928965982,8.584521293640137,0.6363732814788818,0.6708860759493671,0.9240506329113924,0.9873417721518988,8,32,2,2,224,gatv2,gru,64,0.001,1000,sort,2023-12-02 02:40:51,False
RankPETA,order,pnn_idx,14.377141378377942,11.078958511352539,1.0148289203643799,0.5527426160337553,0.8607594936708861,0.9578059071729957,8,32,4,2,38,gatv2,gru,64,0.001,1000,sort,2023-12-02 03:03:37,False
RankPETA,order,pnn_idx,11.76387665462846,9.462526321411133,0.8471810817718506,0.6329113924050633,0.9240506329113924,0.9789029535864979,8,64,4,2,44,gcn,tft,64,0.001,1000,sort,2023-12-02 03:15:32,False
RankPETA,order,pnn_idx,12.166033027209018,9.812363624572754,0.8289617896080017,0.5780590717299579,0.9156118143459916,0.9831223628691983,8,32,4,4,181,gcn,gru,64,0.001,1000,sort,2023-12-02 03:16:18,False
RankPETA,order,pnn_idx,13.6383612678096,10.721197128295898,0.9890002608299255,0.5443037974683544,0.8734177215189873,0.9535864978902954,8,32,4,2,93,gatv2,tft,64,0.001,1000,sort,2023-12-02 04:04:52,False
RankPETA,order,pnn_idx,13.923692098727129,11.357558250427246,0.9820255041122437,0.48523206751054854,0.8565400843881856,0.9662447257383966,8,64,2,4,98,gcn,gru,64,0.001,1000,sort,2023-12-02 04:11:11,False
RankPETA,order,pnn_idx,17.8178180452203,14.696662902832031,1.2797956466674805,0.37130801687763715,0.6919831223628692,0.9409282700421941,8,32,2,4,42,gcn,tft,64,0.001,1000,sort,2023-12-02 04:35:48,False
RankPETA,order,pnn_idx,12.241192824141466,9.781706809997559,0.8642233610153198,0.5738396624472574,0.9071729957805907,0.9789029535864979,8,64,4,4,119,gcn,gru,64,0.001,1000,sort,2023-12-02 05:15:39,False
RankPETA,order,pnn_idx,16.400218385312357,13.238280296325684,1.2594537734985352,0.4050632911392405,0.7679324894514767,0.9620253164556962,8,32,4,4,37,gcn,tft,64,0.001,1000,sort,2023-12-02 05:45:02,False
